viewCount,likeCount,favoriteCount,commentCount,video_id
691,38,0,2,37argJqAf7L
127951,3295,0,709,xKUUDM9OMOB
6570,2,0,1,Yzdr0RuwnDb
297788,13510,0,170,ePOOM0gNkkR
3100357,47773,0,671,XPCoD6q5BtT
111,5,0,2,UONbtcPZZ2Y
1757,28,0,3,ppcGLc1nFbG
10641756,213184,0,21988,egfTZ2UxnpE
30977,1754,0,250,l9Z3yc2oGb9
8727,12,0,0,H2625jaP2Jx
109,1,0,0,6hkMGimNaDn
863474,15928,0,758,LrvGCarycSc
475,9,0,1,whTHWMA13zP
7124,163,0,30,eOdMPt0VftC
143,2,0,1,JK2kwSKqDz4
7845731,560912,0,1374,JyT2zzITeQ6
1085636,5347,0,119,CG5qsYHpfri
1353,83,0,3,VOWFR54989D
11293,591,0,6,85cvfUlQSeS
710046,74613,0,1384,c9SQPTDuo5W
3035054,35253,0,1408,akNUZC4upTI
605,0,0,3,n2EWkaS4M4D
2401743,149958,0,1931,NQ3ZkfT1ESC
1329,2,0,0,2ma7MAPBQoI
319,2,0,0,2KPOKiWtdzD
1937862,185076,0,491,pGypLU61hsg
38,2,0,1,rOZsWb3WcpE
2101024,41134,0,1930,bTKuovMtL5b
1425307,34894,0,1267,LP5IDAajRwE
317,1,0,0,KMM5b95KbzY
137,14,0,13,2VjWb6sYLOv
11512,599,0,39,Q0ggwPRs1nY
30168,426,0,209,cEwpIbPlnGG
4589,12,0,0,Oxmzx6IQEQ8
5905231,396617,0,2493,l68BLJzzTGS
81,4,0,0,MAo8uri0Tfn
1310339,23422,0,805,oJJ0j3tLnbx
4071616,87012,0,5524,UikGg7RUH6S
3316568,50523,0,1423,Nj3zwaxHt4E
338006,7568,0,212,xIscJgqRfO2
2118,192,0,11,XTRaOWngEbM
17,0,0,0,fWmkLCrcogl
2503982,98684,0,1308,DSyXy4CroDb
5316,21,0,1,X7WZ32cXyG7
20,0,0,0,ZiDGcgEYMTv
384,3,0,0,X9njZmofD2d
891342,37615,0,692,TyFixbaP4d1
4973,36,0,3,4Fj0HsoAeDG
